ADM_TERM,AUB_ID,Gpa upon admission,ADM_FACULTY,ADM_DEGREE,ADM_PROGRAM,ADM_MAJOR,SAVAMCD_PRIM_COLL_DESC,GPA,GRAD_DEGREE,GRAD_FACULTY,GRAD_MAJOR,GRAD_PROGRAM,GRAD_TERM
202310,1,2.92,NU,BSN,BSN-NURS,NURS,Leb.University,2,,,,,202410
202310,2,3.36,EA,BEN,BEN-EMCH,EMCH,"Leb.Amer.University, Jbeil",4.1,,,,,202495
201710,3,2.7,AS,BA,BA-POLS,POLS,Acad Lib des Beaux Arts(ALBA),85,BA,AS,POLS,BA-POLS,201910
201310,4,3.55,EA,BEN,BEN-EECE,EECE,"N.D.University, Louaize",80.5,BEN,EA,EECE,BEN-EECE,201520
201210,5,3.63,AG,BSLEM,BSL-LDEM,LDEM,"N.D.University, Louaize",78.7,BLA,AG,LDAR,BLA-LDAR,201520
202010,6,2.79,NU,BSN,BSN-NURS,NURS,"Leb. Am. University,Ras Beirut",3.9,BSN,NU,NURS,BSN-NURS,202220
201310,7,3.28,AS,BA,BA-ECON,ECON,"Leb. Am. University,Ras Beirut",77.6,BA,AS,ECON,BA-ECON,201420
201920,8,3.4,AS,BA,BA-ECON,ECON,"N.D.University, Louaize",86.1,BA,AS,ECON,BA-ECON,202120
201720,9,2.47,EA,BEN,BEN-EECE,EECE,"Middle East University,Sabtieh",67.6,,,,,201920
201410,10,3.29,SB,BBA,BBA-BUADM,BUADM,"Leb. Am. University,Ras Beirut",76.6,BBA,SB,BADM,BBA-BUADM,201620
201810,11,3.54,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",81.3,BBA,SB,BADM,BBA-BUADM,202120
201320,12,3.95,EA,BEN,BEN-ECIV,ECIV,"Leb. Am. University,Ras Beirut",86.7,BEN,EA,ECIV,BEN-ECIV,201530
201410,13,3.92,EA,BEN,BEN-EECE,EECE,"Leb. Am. University,Ras Beirut",85.8,BEN,EA,EECE,BEN-EECE,201710
202310,14,3.7,AG,BLA,BLA-LDAR,LDAR,"Concordia Univ,Canada",3.9,,,,,202495
202010,15,3.47,HS,BS,BS-MLSP,MLSP,"Leb. Am. University,Ras Beirut",3.5,BS,HS,MLSP,BS-MLSP,202130
202020,16,2.6,AG,BS,BS-AGBU,AGBU,"Leb. Am. University,Ras Beirut",3,,,,,202310
201510,17,2.5,SB,BBA,BBA-BUADM,BADM,German University in Cairo,74.6,BBA,SB,BADM,BBA-BUADM,201730
201510,18,3.11,EA,BEN,BEN-EECE,EECE,Balamand University,80.8,BEN,EA,EECE,BEN-EECE,201730
201820,19,2.96,AS,BS,BS-BIOL,BIOL,Leb.University,70.4,,,,,202010
202110,20,3.73,EA,BEN,BEN-EECE,EECE,Collin College,1.8,,,,,202320
201210,21,3.68,EA,BEN,BEN-EMCH,EMCH,"N.D.University, Louaize",80.6,BEN,EA,EMCH,BEN-EMCH,201810
201710,22,4,EA,BEN,BEN-EMCH,EMCH,Beirut Arab University,76,BEN,EA,EMCH,BEN-EMCH,202020
202310,23,3.7,AS,BA,BA-PSYC,PSYC,"York University,Toronto,Canada",3.2,,,,,202410
202120,24,3,SB,BBA,BBA-BUADM,BADM,Leb.University,3,,,,,202410
202220,25,2.83,AS,BS,BS-CMPS,CMPS,Damascus University,2.6,,,,,202495
